2025-09-12 11:17:43.713 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:17:43.729 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:17:43.738 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:17:43.750 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:17:43.752 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:17:43.763 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:18:23.026 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:18:23.039 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:18:23.050 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:18:23.061 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:18:23.063 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:18:23.075 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:20:37.398 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:20:37.411 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:20:37.421 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:20:37.433 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:20:37.434 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:20:37.447 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:21:33.823 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:21:33.836 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:21:33.846 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:21:33.858 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:21:33.859 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:21:33.871 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:22:20.064 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:22:20.077 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:22:20.088 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:22:20.100 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:22:20.102 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:22:20.114 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:26:21.891 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:26:21.904 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:26:21.914 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:26:21.926 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:26:21.928 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:26:21.940 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:27:16.221 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:27:16.235 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:27:16.245 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:27:16.257 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:27:16.259 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:27:16.271 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:27:33.076 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:27:33.090 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:27:33.100 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:27:33.112 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:27:33.114 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:27:33.127 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:28:00.329 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:28:00.356 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:28:00.370 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:28:00.395 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 11:28:00.397 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 11:28:00.421 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 5 log files
2025-09-12 12:03:39.840 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 12:03:39.854 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 12:03:39.866 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 12:03:39.879 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 12:03:39.881 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 12:03:39.895 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 13:06:40.483 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 13:06:40.500 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 13:06:40.512 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 13:06:40.527 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 13:06:40.529 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 13:06:40.544 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:03:06.276 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:03:06.291 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:03:06.303 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:03:06.317 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:03:06.319 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:03:06.332 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
2025-09-12 14:09:09.712 | INFO     | backend.utils.log_aggregator:_build_index:109 | Building log search index...
2025-09-12 14:09:09.727 | INFO     | backend.utils.log_aggregator:_build_index:122 | Built index for 6 log files
